timeOpen,trend
2022-12-23,16797.56611922466
2022-12-24,16802.034722940432
2022-12-25,16796.20581830117
2022-12-26,16778.760982217987
2022-12-27,16751.769203565935
2022-12-28,16723.842806423123
2022-12-29,16697.950835359497
2022-12-30,16675.678874751175
2022-12-31,16662.041915166606
2023-01-01,16661.900731051766
2023-01-02,16678.447403745948
2023-01-03,16711.072322604068
2023-01-04,16755.891907494242
2023-01-05,16810.933911606284
2023-01-06,16880.849083121266
2023-01-07,16983.065175756048
2023-01-08,17152.45322627084
2023-01-09,17393.376479320857
2023-01-10,17694.462615615514
2023-01-11,18074.90882808314
2023-01-12,18517.12542316455
2023-01-13,18973.289416942138
2023-01-14,19438.279705088382
2023-01-15,19908.12729238682
2023-01-16,20365.250881785014
2023-01-17,20796.877185146448
2023-01-18,21195.02484424611
2023-01-19,21540.737754173962
2023-01-20,21819.03393559844
2023-01-21,22056.712056786855
2023-01-22,22283.011385200407
2023-01-23,22509.753776188954
2023-01-24,22715.69900242155
2023-01-25,22862.243237217754
2023-01-26,22952.346059629126
2023-01-27,23011.176600553135
2023-01-28,23068.71892043524
2023-01-29,23132.38543538586
2023-01-30,23195.689063111946
2023-01-31,23247.767553760877
2023-02-01,23273.233894203957
2023-02-02,23275.240375675727
2023-02-03,23262.923327429766
2023-02-04,23230.80982378094
2023-02-05,23159.902038741995
2023-02-06,23036.526871862632
2023-02-07,22862.674678521664
2023-02-08,22665.82832503732
2023-02-09,22477.2458700301
2023-02-10,22312.472998525896
2023-02-11,22196.823219834394
2023-02-12,22203.053132631972
2023-02-13,22320.518897082336
2023-02-14,22535.708066260522
2023-02-15,22805.053100083347
2023-02-16,23102.878114577332
2023-02-17,23405.114624012516
2023-02-18,23702.881295737723
2023-02-19,23976.516455610268
2023-02-20,24157.763044142866
2023-02-21,24208.985858657717
2023-02-22,24153.85533405175
2023-02-23,24052.526549774815
2023-02-24,23917.890424402103
2023-02-25,23778.705598360386
2023-02-26,23644.48569526587
2023-02-27,23504.732452626824
2023-02-28,23358.01313062528
2023-03-01,23213.848030174817
2023-03-02,23079.999517289245
2023-03-03,22948.307693324412
2023-03-04,22801.421974098575
2023-03-05,22632.300323385494
2023-03-06,22447.770267856205
2023-03-07,22267.260778015534
2023-03-08,22265.821119043605
2023-03-09,22659.471300988425
2023-03-10,23008.21547111815
2023-03-11,23263.85786935213
2023-03-12,23500.05868849979
2023-03-13,23767.86037186237
2023-03-14,24092.620468773635
2023-03-15,24477.27607296627
2023-03-16,24938.628988219203
2023-03-17,25429.758557145593
2023-03-18,25849.23726780331
2023-03-19,26216.660244747083
2023-03-20,26543.94492776493
2023-03-21,26882.164090152644
2023-03-22,27254.161480146868
2023-03-23,27543.10610583607
2023-03-24,27635.37678505022
2023-03-25,27655.270313084035
2023-03-26,27683.558968339803
2023-03-27,27740.983874555277
2023-03-28,27821.16157581088
2023-03-29,27901.466245754214
2023-03-30,27967.4059052651
2023-03-31,28029.00936555212
2023-04-01,28086.308862227525
2023-04-02,28132.41698302981
2023-04-03,28156.40667057234
2023-04-04,28148.04707060518
2023-04-05,28135.09029663091
2023-04-06,28182.068329080146
2023-04-07,28316.523614831192
2023-04-08,28522.859715877643
2023-04-09,28763.74604988214
2023-04-10,29017.119207216034
2023-04-11,29271.06491705544
2023-04-12,29528.527936991555
2023-04-13,29769.77092402017
2023-04-14,29938.475063271115
2023-04-15,29961.973832158423
2023-04-16,29862.744613008126
2023-04-17,29682.987084370212
2023-04-18,29437.934367110745
2023-04-19,29151.41211692793
2023-04-20,28851.716804081654
2023-04-21,28606.18329543663
2023-04-22,28419.655739864473
2023-04-23,28290.95872363425
2023-04-24,28246.541757926792
2023-04-25,28288.990718528563
2023-04-26,28375.931001600686
2023-04-27,28515.888800881352
2023-04-28,28667.403694127926
2023-04-29,28784.572469057966
2023-04-30,28876.549384662954
2023-05-01,28946.073194028548
2023-05-02,28979.83525435331
2023-05-03,28950.823840126177
2023-05-04,28851.690559346724
2023-05-05,28715.368164102092
2023-05-06,28564.87386794347
2023-05-07,28397.10100966973
2023-05-08,28204.137166002223
2023-05-09,27987.73462952459
2023-05-10,27754.982365331205
2023-05-11,27533.95665901666
2023-05-12,27355.66858701074
2023-05-13,27225.13500502861
2023-05-14,27131.39698576602
2023-05-15,27065.32179576338
2023-05-16,27021.915891029734
2023-05-17,27001.32098126989
2023-05-18,26998.300672974383
2023-05-19,26996.90459694539
2023-05-20,26977.443229576562
2023-05-21,26934.787790370505
2023-05-22,26882.491497428677
2023-05-23,26837.757735684638
2023-05-24,26812.546927015403
2023-05-25,26826.501403167662
2023-05-26,26882.076239828297
2023-05-27,26947.53971920922
2023-05-28,26995.12484945952
2023-05-29,27034.563715930075
2023-05-30,27083.146351612217
2023-05-31,27145.792601371937
2023-06-01,27198.473258096892
2023-06-02,27210.019151439268
2023-06-03,27155.720985045442
2023-06-04,27057.2173220528
2023-06-05,26949.783284736324
2023-06-06,26838.484513657295
2023-06-07,26722.414658191974
2023-06-08,26597.810700092014
2023-06-09,26460.191973487086
2023-06-10,26312.86959803715
2023-06-11,26171.730761781397
2023-06-12,26079.020422545775
2023-06-13,26042.98864128653
2023-06-14,26040.930001597022
2023-06-15,26094.58219651714
2023-06-16,26252.021700398618
2023-06-17,26488.245283454762
2023-06-18,26801.240849031834
2023-06-19,27211.087998502895
2023-06-20,27717.185200714728
2023-06-21,28202.59498225737
2023-06-22,28636.685265745567
2023-06-23,29064.26984945644
2023-06-24,29493.682639498147
2023-06-25,29864.004523754877
2023-06-26,30160.18497768043
2023-06-27,30360.98457621833
2023-06-28,30425.478340201003
2023-06-29,30458.77719938904
2023-06-30,30498.23360953759
2023-07-01,30532.919461775953
2023-07-02,30549.785807469925
2023-07-03,30547.711276246235
2023-07-04,30532.216045189787
2023-07-05,30510.759741890633
2023-07-06,30485.01111714831
2023-07-07,30455.99050896161
2023-07-08,30420.02720131607
2023-07-09,30384.503269580073
2023-07-10,30363.902923417612
2023-07-11,30356.81296133336
2023-07-12,30355.273538529582
2023-07-13,30349.510844936856
2023-07-14,30328.258042538873
2023-07-15,30291.57956412727
2023-07-16,30238.98840590971
2023-07-17,30172.54915885392
2023-07-18,30101.96642716211
2023-07-19,30035.39874864629
2023-07-20,29962.124925242675
2023-07-21,29875.18122209895
2023-07-22,29781.039466651997
2023-07-23,29689.635430112285
2023-07-24,29608.692084700164
2023-07-25,29538.056719806387
2023-07-26,29469.913837245578
2023-07-27,29404.428480834187
2023-07-28,29351.871032753243
2023-07-29,29319.717763366774
2023-07-30,29304.92593667629
2023-07-31,29294.90487464252
2023-08-01,29276.530569248556
2023-08-02,29250.956196231316
