Youtuber,subscribers,video views,video count,category,started,username,Youtube Url,Audience Country,Avg. Likes,Avg. Comments,ID
The Lallantop,22200000,8155335430,39370,News & Politics,2015,The Lallantop,http://youtube.com/channel/UCx8Z14PpntdaxCt2hakbQLQ,India,717.0,113.0,UCx8Z14PpntdaxCt2hakbQLQ
GMM GRAMMY OFFICIAL,22100000,24128528075,13755,Music,2010,gmmgrammyofficial,http://youtube.com/channel/UCG9gfnA5UDoLvz-tC9B-HKw,Thailand,63.0,3.0,UCG9gfnA5UDoLvz-tC9B-HKw
White Hill Music,21700000,9719487276,5094,Entertainment,2014,WHBBP,http://youtube.com/channel/UCopY0NAzASqmD6eVaRj2TFQ,India,1000.0,47.0,UCopY0NAzASqmD6eVaRj2TFQ
Paulo Londra,21700000,7061442001,52,Music,2016,Paulo Londra,http://youtube.com/channel/UCzI7wZyqk7jpXWT_MILjepw,Argentina,982900.0,28800.0,UCzI7wZyqk7jpXWT_MILjepw
America's Got Talent,21700000,4016933296,2751,Entertainment,2006,AmericasGotTalent,http://youtube.com/channel/UCT2X19JJaJGUN7mrYuImANQ,United States,19100.0,622.0,UCT2X19JJaJGUN7mrYuImANQ
FaZe Rug,21500000,6009951177,1997,Gaming,2012,oRugrat,http://youtube.com/channel/UCilwZiBBfI9X6yiZRzWty8Q,United States,112500.0,6900.0,UCilwZiBBfI9X6yiZRzWty8Q
Pen Movies,21200000,5588648749,1569,Film & Animation,2014,PenIndiaPvtLimited,http://youtube.com/channel/UC3ar28GS6o1p0m_wabfk2zw,India,1900.0,113.0,UC3ar28GS6o1p0m_wabfk2zw
Enaldinho,21100000,7382859153,2908,Comedy,2012,TheEnaldinhO,http://youtube.com/channel/UC2bYhAHyaqfWlPXWBVk4BcA,Brazil,31500.0,453.0,UC2bYhAHyaqfWlPXWBVk4BcA
SSundee,21000000,12022708572,3067,Gaming,2009,SSundee,http://youtube.com/channel/UCke6I9N4KfC968-yRcd5YRg,United States,103800.0,3500.0,UCke6I9N4KfC968-yRcd5YRg
Tasty,21000000,5508445771,4310,Howto & Style,2016,Tasty,http://youtube.com/channel/UCJFp8uSYCjXOMnkUyb3CQ3Q,United States,8700.0,348.0,UCJFp8uSYCjXOMnkUyb3CQ3Q
FGTeeV,20900000,22567064225,1594,Gaming,2013,FGTeeV,http://youtube.com/channel/UCC-RHF_77zQdKcA75hr5oTQ,United States,17400.0,2200.0,UCC-RHF_77zQdKcA75hr5oTQ
