username,Youtube Url,Name,Category,Audience Country,Subscribers,Avg. Views,Avg. Likes,Avg. Comments
BritainsGotTalent09,http://youtube.com/channel/UCUtZaxDF3hD5VK4xRYFBePQ,Britain's Got Talent,Music & DanceMovies,United Kingdom,18600000,80400,1600.0,42.0
icreateddisco,http://youtube.com/channel/UCIjYyZxkFucP_W-tmXg_9Ow,Calvin Harris,Music & Dance,United States,18400000,473800,16500.0,818.0
Cardi B,http://youtube.com/channel/UCxMAbVFmxKUVGAll0WVGpFw,Cardi B,Music & Dance,United States,18400000,517400,28600.0,2700.0
sonotekvideo,http://youtube.com/channel/UC3zVeAaoPEN1Tu25dW3G2Ig,Sonotek,Music & Dance,India,18200000,122700,543.0,33.0
Unbox Therapy,http://youtube.com/channel/UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,Science & Technology,United States,18200000,1100000,8400.0,1200.0
Ninja Kidz TV,http://youtube.com/channel/UCpZ88DWlKW0H_AYDaUZptcw,Ninja Kidz TV,Video games,United States,18200000,793900,18800.0,1300.0
HiMan,http://youtube.com/channel/UCM44x9uWlx__9M9Y2IFhxzQ,HiMan,Video games,Russia,18200000,3200000,166700.0,5200.0
CookieSwirlC,http://youtube.com/channel/UCelMeixAOTs2OQAAi9wU8-g,CookieSwirlC,Video games,United States,18200000,510500,3800.0,619.0
MiawAug,http://youtube.com/channel/UC3J4Q1grz46bdJ7NJLd4DGw,MiawAug,Video games,Indonesia,18000000,889600,39800.0,3100.0
PDKFilms,http://youtube.com/channel/UC-F6LZSWz34xKknY8NNCzgQ,PDK Films,MoviesAnimation,United States,18000000,1700000,35900.0,1100.0
DanielSaboya,http://youtube.com/channel/UCEUf_uUDUfJJ3XfgwOxm-0A,Dan-Sa / Daniel Saboya,Music & DanceAnimation,Brazil,18000000,42400,1600.0,35.0
GEN HALILINTAR,http://youtube.com/channel/UCfRNJiafEm1LBBGFTTq4cXw,GEN HALILINTAR,Music & DanceHumor,Indonesia,18000000,983200,26400.0,226.0
TheOdd1sOut,http://youtube.com/channel/UCo8bcnLyZH8tBIH9V1mLgqQ,TheOdd1sOut,MoviesAnimation,United States,18000000,6000000,404500.0,24100.0
ElTrollino,http://youtube.com/channel/UCI2FmVp--YL8d7iVFt8mmxg,ElTrollino,AnimationVideo games,Mexico,18000000,3000000,95600.0,2100.0
Lele Pons,http://youtube.com/channel/UCi9cDo6239RAzPpBZO9y5SA,Lele Pons,MoviesHumor,United States,17800000,38100,2000.0,32.0
farrukotv,http://youtube.com/channel/UCqFhfan_P2AmGVB1X2B-3Aw,Farruko,Music & Dance,United States,17800000,92900,7000.0,276.0
Emiway Bantai,http://youtube.com/channel/UCHmk8iNJHvf5mGN6_pkPc7g,Emiway Bantai,Music & Dance,India,17800000,6200000,499500.0,93700.0
therealdemilovato,http://youtube.com/channel/UCZkURf9tDolFOeuw_4RD7XQ,Demi Lovato,Music & Dance,United States,17800000,55700,6900.0,267.0
invictorgs3,http://youtube.com/channel/UChOQkbLHWi3zSCUjT7Kjd1g,invictor,AnimationVideo games,Mexico,17800000,1300000,56700.0,993.0
The Royalty Family,http://youtube.com/channel/UCja7QUMRG9AD8X2F_vXFb9A,The Royalty Family,Humor,United States,17800000,3400000,110700.0,
Matroix,http://youtube.com/channel/UCYVinkwSX7szARULgYpvhLw,Ali-A,Video games,United States,17800000,625600,23500.0,1300.0
rhettandlink2,http://youtube.com/channel/UC4PooiX37Pld1T8J5SYT-SQ,Good Mythical Morning,Food & Drinks,United States,17800000,1100000,34200.0,1300.0
Naisa Alifia Yuriza (N.A.Y),http://youtube.com/channel/UCtjFp8VXWIscsqQ2wokpo3Q,Naisa Alifia Yuriza (N.A.Y),Music & DanceMovies,Indonesia,17800000,802900,33700.0,718.0
Lil Pump,http://youtube.com/channel/UC6pjHMC4QXMi4llCCjtDXWg,Lil Pump,Music & Dance,United States,17800000,770600,41300.0,3600.0
dj47maryn,http://youtube.com/channel/UCf31Gf5nCU8J6eUlr7QSU0w,Marmok,AnimationVideo games,Russia,17600000,3500000,335700.0,14000.0
