Youtuber,subscribers,video views,video count,category,started
VanossGaming,25700000,14907579962,1581,Gaming,2011
LosPolinesios,25600000,7086413849,725,People & Blogs,2012
1MILLION Dance Studio,25500000,7409442051,4251,Entertainment,2015
BB Ki Vines,25500000,4371751617,185,Entertainment,2015
Renato Garcia,25400000,6901320769,3648,Entertainment,2011
JYP Entertainment,25200000,17152981455,1502,Music,2008
RihannaVEVO,25200000,18089677017,106,Music,2009
Nick Jr.,25100000,20691684541,4712,Film & Animation,2012
Smosh,25000000,10184035967,1366,Comedy,2005
EminemVEVO,24900000,18786748261,98,Music,2009
Marília Mendonça,24900000,16477333283,114,Music,2013
Beyoncé,24900000,15717379166,234,Music,2005
Yuya,24900000,2583410213,672,Howto & Style,2009
KatyPerryVEVO,24800000,22679485513,171,Music,2009
Jess No Limit,24700000,3060187306,1914,Entertainment,2017
WatchMojo.com,24600000,15650528115,22492,Music,2007
Las Ratitas,24600000,9217427023,217,People & Blogs,2015
Nicki Minaj,24500000,9386490086,31,Music,2013
Goldmines Dishoom,24400000,7143695444,2844,Film & Animation,2016
David Guetta,24300000,15959928823,633,Music,2009
Masha y el Oso,24300000,11006209206,840,Film & Animation,2016
Aditya Movies,24300000,7908171009,4274,Movies,2012
Netflix,24300000,5678834326,5650,Entertainment,2012
ZHC,24300000,2224916696,298,Film & Animation,2013
Post Malone,24200000,12492313399,51,Music,2011
1theK (원더케이),24200000,22605283252,16928,Music,2011
Amit Bhadana,24100000,2242631303,93,Entertainment,2012
Rans Entertainment,24000000,5688277632,3060,People & Blogs,2015
Chloe Ting,24000000,2735828023,367,Howto & Style,2011
Sandeep Maheshwari,24000000,1821164544,513,People & Blogs,2012
Raffy Tulfo in Action,23900000,12797189774,8755,News & Politics,2016
KSI,23900000,5898102699,1242,Entertainment,2009
Collins Key,23900000,6368398946,251,Entertainment,2011
James Charles,23900000,3687600020,406,Entertainment,2015
Ninja,23900000,2447087199,1418,Gaming,2011
Coldplay,23500000,15078170011,347,Music,2010
Logan Paul,23500000,5889189870,712,Entertainment,2015
DJ Snake,23400000,7645734689,209,Music,2008
Chris Brown,23400000,13630944140,21,Music,2006
Happy Lives,23400000,10089784164,596,Science & Technology,2016
TRANS7 OFFICIAL,23300000,12454676964,78951,Entertainment,2014
Troom Troom,23200000,9797581328,1992,Howto & Style,2015
ABPLIVE,23200000,6805551423,146479,People & Blogs,2017
Mister Max,23100000,14762469807,1046,People & Blogs,2014
NickyJamTV,23100000,15050718616,328,Music,2012
Shemaroo Movies,23000000,5590554837,2155,Entertainment,2011
Sesame Street,22900000,21078177585,3425,Entertainment,2006
Enrique Iglesias,22900000,16539033540,405,Music,2007
netd müzik,22800000,50658927334,20482,Music,2014
Jelly,22800000,14239994409,5667,Gaming,2014
Erlania e Valentina Pontes,22700000,7556615404,1117,Film & Animation,2014
DrossRotzank,22500000,5743037460,1508,Entertainment,2006
Anuel AA,22400000,11627613226,92,Music,2016
Goldmines Bollywood,22400000,7122122133,2409,Film & Animation,2015
Miss Katy,22300000,13424354473,990,People & Blogs,2014
The Chainsmokers,22300000,13337815978,237,Music,2012
Crazy XYZ,22300000,5869132761,1085,Entertainment,2017
Frost Diamond,22300000,5357578673,2191,Gaming,2014
Mark Rober,22300000,2935811566,107,Science & Technology,2011
The Lallantop,22200000,8155335430,39370,News & Politics,2015
Technical Guruji,22200000,3065204553,4609,Science & Technology,2015
GMM GRAMMY OFFICIAL,22100000,24128528075,13755,Music,2010
HUM TV,22100000,16656148835,59428,Entertainment,2011
Like Nastya AE,22100000,11179266145,576,Entertainment,2018
WB Kids,22100000,9340794746,1722,People & Blogs,2015
Venus Movies,22100000,6293790011,2456,Entertainment,2010
OneDirectionVEVO,22000000,11550410746,266,Music,2010
Smile Family,22000000,8261468075,413,People & Blogs,2018
mmoshaya,21900000,16356422375,1139,People & Blogs,2010
Lady Gaga,21900000,13835267771,172,People & Blogs,2008
White Hill Music,21700000,9719487276,5094,Entertainment,2014
Paulo Londra,21700000,7061442001,52,Music,2016
America's Got Talent,21700000,4016933296,2751,Entertainment,2006
TED,21700000,2370380465,4005,People & Blogs,2006
Sia,21600000,12150226022,144,Music,2007
Wave Music Bhojpuri,21500000,12148385591,21294,Music,2014
Peppa Pig Español Latino - Canal Oficial,21500000,6961098158,949,Film & Animation,2014
FaZe Rug,21500000,6009951177,1997,Gaming,2012
Goldmines Movies,21400000,4575205400,4025,Film & Animation,2013
Pen Movies,21200000,5588648749,1569,Film & Animation,2014
nigahiga,21200000,4357416327,403,Entertainment,2006
BabyBus - Canciones Infantiles & Cuentos,21100000,11922457689,973,Education,2018
Enaldinho,21100000,7382859153,2908,Comedy,2012
SSundee,21000000,12022708572,3067,Gaming,2009
Tasty,21000000,5508445771,4310,Howto & Style,2016
FGTeeV,20900000,22567064225,1594,Gaming,2013
Dua Lipa,20900000,9928011592,164,Music,2011
5-Minute Crafts DIY,20900000,4934552904,3961,Howto & Style,2018
Juan De Dios Pantoja,20900000,1601142353,175,Entertainment,2014
Indosiar,20800000,10126082404,58623,Music,2013
Like Nastya PRT,20800000,10441789042,529,Entertainment,2019
Preston,20800000,6955897177,3861,Gaming,2012
Baim Paula,20800000,4254648656,1957,People & Blogs,2016
Charlie Puth,20700000,8609202215,132,Music,2009
Canal Canalha,20700000,1834293432,291,Comedy,2011
MrBeast en Español,20700000,2290112686,72,Entertainment,2021
Goldmines Cineplex,20600000,1796017693,2474,Film & Animation,2015
Brent Rivera,20500000,4655819045,484,Comedy,2009
Kids TV - Nursery Rhymes And Baby Songs,20400000,11747446967,3367,Shows,2013
Disney Latinoamérica,20400000,19296050086,7811,Entertainment,2007
Becky G,20400000,9552800638,73,Music,2011
Family GamesTV,20400000,7061690830,277,Entertainment,2016
Jake Paul,20400000,7219140294,934,People & Blogs,2013
National Geographic,20400000,5199519260,9854,Science & Technology,2006
Tekashi 6ix9ine,20400000,5325195339,25,People & Blogs,2018
BuzzFeedVideo,20300000,17755714250,7347,People & Blogs,2011
Brave Wilderness,20300000,4606459332,718,Pets & Animals,2014
Avicii,20200000,9499913181,149,Music,2009
REACT,20100000,12940702514,3885,Entertainment,2007
LazarBeam,20100000,8389982773,1258,Gaming,2015
StarPlus,20100000,12116551500,12702,Entertainment,2006
AuthenticGames,20100000,8852635760,4638,Gaming,2011
Vevo,20000000,546905035,1519,Music,2006
Skrillex,20000000,6307539008,180,Music,2010
Rotana,20000000,16480938259,8109,Music,2012
Ultra Movie Parlour,20000000,4930920530,1302,Movies,2011
SlivkiShow,20000000,4345234891,426,Entertainment,2012
HaerteTest,20000000,3027361293,1160,Science & Technology,2011
5-Minute Crafts PLAY,19900000,5616881420,4440,Howto & Style,2017
Alan Becker,19900000,4321286202,116,Film & Animation,2006
JennaMarbles,19900000,1761774908,250,Comedy,2010
Mnet K-POP,19800000,15394134862,29028,Entertainment,2006
Lyrical Lemonade,19800000,9563010656,408,Entertainment,2013
Pencilmation,19800000,10849211839,1153,Film & Animation,2007
Tlnovelas,19700000,12776498114,29574,News & Politics,2013
Pentatonix,19700000,5694327707,235,Music,2011
Totoy kids - Português,19700000,3826474945,174,Film & Animation,2014
LankyBox,19600000,25787517689,5545,Comedy,2016
toyorbabytv,19600000,13978892435,1057,Music,2012
shane,19600000,4269173489,566,People & Blogs,2005
Marvel Entertainment,19500000,5098361752,7989,Entertainment,2005
Noor Stars,19500000,2545886796,627,Comedy,2014
GMA Public Affairs,19400000,11968987179,37390,Entertainment,2009
Romeo Santos,19400000,14819598563,28,Music,2005
Got Talent Global,19400000,7383775138,2454,Entertainment,2013
Dr. Vivek Bindra: Motivational Speaker,19400000,1478660028,683,Education,2013
Linkin Park,19300000,11783975855,592,Music,2006
